TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-05-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-28,TAS RANSEL OTHELLO SERIES,0
2023-05-29,BANTAL IBU MENYUSUI SERI SQUIREL,6
2023-05-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-05-29,TAS RANSEL OTHELLO SERIES,0
2023-05-30,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-05-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-05-30,TAS RANSEL OTHELLO SERIES,0
2023-05-31,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-05-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-05-31,TAS RANSEL OTHELLO SERIES,0
2023-06-01,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-06-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-06-01,TAS RANSEL OTHELLO SERIES,0
2023-06-02,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-06-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-02,TAS RANSEL OTHELLO SERIES,1
2023-06-03,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-03,TAS RANSEL OTHELLO SERIES,0
2023-06-04,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-04,TAS RANSEL OTHELLO SERIES,0
2023-06-05,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-06-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-06-05,TAS RANSEL OTHELLO SERIES,1
2023-06-06,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-06-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-06-06,TAS RANSEL OTHELLO SERIES,0
2023-06-07,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-07,TAS RANSEL OTHELLO SERIES,0
2023-06-08,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-06-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-08,TAS RANSEL OTHELLO SERIES,0
2023-06-09,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-06-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-09,TAS RANSEL OTHELLO SERIES,0
2023-06-10,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-10,TAS RANSEL OTHELLO SERIES,0
2023-06-11,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-11,TAS RANSEL OTHELLO SERIES,0
2023-06-12,BANTAL IBU MENYUSUI SERI SQUIREL,5
2023-06-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-12,TAS RANSEL OTHELLO SERIES,0
2023-06-13,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-06-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-06-13,TAS RANSEL OTHELLO SERIES,0
2023-06-14,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-06-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-14,TAS RANSEL OTHELLO SERIES,0
2023-06-15,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-06-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-15,TAS RANSEL OTHELLO SERIES,1
2023-06-16,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-06-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-16,TAS RANSEL OTHELLO SERIES,0
2023-06-17,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-06-17,TAS RANSEL OTHELLO SERIES,0
2023-06-18,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-18,TAS RANSEL OTHELLO SERIES,0
2023-06-19,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-19,TAS RANSEL OTHELLO SERIES,1
2023-06-20,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-20,TAS RANSEL OTHELLO SERIES,1
2023-06-21,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-21,TAS RANSEL OTHELLO SERIES,1
2023-06-22,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-22,TAS RANSEL OTHELLO SERIES,0
2023-06-23,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-23,TAS RANSEL OTHELLO SERIES,1
2023-06-24,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-06-24,TAS RANSEL OTHELLO SERIES,0
2023-06-25,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-25,TAS RANSEL OTHELLO SERIES,0
2023-06-26,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-06-26,TAS RANSEL OTHELLO SERIES,0
2023-06-27,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-06-27,TAS RANSEL OTHELLO SERIES,0
2023-06-28,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-06-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
